mechanism,patient,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
MCAR,A1K5DRI,10,reg_opt_00001,4.15,3.0,550.46,0.0006,5277.39
MCAR,A1K5DRI,10,tree_gp_10000,3.61,2.0,675.66,0.0008,5852.46
MCAR,A1K5DRI,10,mlp_opt_0001,7.02,5.0,2796.68,0.0032,11940.8
MCAR,AYEFCWQ,10,mean,11.19,10.0,461.93,0.0004,5416.21
MCAR,AYEFCWQ,10,reg_opt_00001,4.59,3.0,710.5,0.0006,6808.28
MCAR,AYEFCWQ,10,tree_gp_10000,4.02,3.0,954.99,0.0008,8031.47
MCAR,AYEFCWQ,10,mlp_opt_0001,1.91,1.0,3321.33,0.0029,15403.39
MCAR,AYEFCWQ,5,mean,11.22,10.0,470.67,0.0004,5415.9
MCAR,AYEFCWQ,5,reg_opt_00001,4.53,3.0,735.11,0.0006,6851.35
MCAR,AYEFCWQ,5,tree_gp_10000,3.95,3.0,911.3,0.0008,8098.86
MCAR,AYEFCWQ,5,mlp_opt_0001,1.87,1.0,3464.67,0.003,15485.9
MCAR,AYEFCWQ,15,mean,11.2,10.0,459.72,0.0004,5416.5
MCAR,AYEFCWQ,15,reg_opt_00001,4.65,3.0,690.62,0.0006,6766.47
MCAR,AYEFCWQ,15,tree_gp_10000,4.07,3.0,889.66,0.0008,7900.38
MCAR,AYEFCWQ,15,mlp_opt_0001,1.85,1.0,3376.39,0.0029,15322.42
MCAR,AYEFCWQ,25,mean,11.18,10.0,429.65,0.0004,5417.05
MCAR,AYEFCWQ,25,reg_opt_00001,4.75,3.0,751.86,0.0007,6687.33
MCAR,AYEFCWQ,25,tree_gp_10000,4.16,3.0,798.69,0.0007,7600.28
MCAR,AYEFCWQ,25,mlp_opt_0001,6.95,5.0,3335.39,0.0029,15185.5
MCAR,AYEFCWQ,20,mean,11.18,10.0,452.12,0.0004,5416.78
MCAR,AYEFCWQ,20,reg_opt_00001,4.69,3.0,718.4,0.0006,6726.42
MCAR,AYEFCWQ,20,tree_gp_10000,4.1,3.0,869.28,0.0008,7719.88
MCAR,AYEFCWQ,20,mlp_opt_0001,6.89,5.0,3423.23,0.003,15255.93
MCAR,AMV7EQF,15,mean,13.75,13.0,313.74,0.0004,4108.12
MCAR,AMV7EQF,15,reg_opt_00001,5.1,3.0,558.31,0.0006,5131.63
MCAR,AMV7EQF,15,tree_gp_10000,4.38,3.0,623.86,0.0007,5722.17
MCAR,AMV7EQF,15,mlp_opt_0001,7.85,6.0,2523.5,0.0029,11625.3
MCAR,AMV7EQF,20,mean,13.75,13.0,349.94,0.0004,4108.34
MCAR,AMV7EQF,20,reg_opt_00001,5.15,3.0,536.8,0.0006,5101.54
MCAR,AMV7EQF,20,tree_gp_10000,4.47,3.0,634.62,0.0007,5644.76
MCAR,AMV7EQF,20,mlp_opt_0001,7.94,6.0,2540.34,0.0029,11569.67
MCAR,AMV7EQF,10,mean,13.79,13.0,328.48,0.0004,4107.9
MCAR,AMV7EQF,10,reg_opt_00001,5.04,3.0,574.34,0.0007,5163.66
MCAR,AMV7EQF,10,tree_gp_10000,4.32,3.0,656.93,0.0008,5783.8
MCAR,AMV7EQF,10,mlp_opt_0001,6.45,4.0,2627.3,0.003,11683.38
MCAR,AMV7EQF,25,mean,13.73,13.0,333.9,0.0004,4108.54
MCAR,AMV7EQF,25,reg_opt_00001,5.18,3.0,539.69,0.0006,5072.43
MCAR,AMV7EQF,25,tree_gp_10000,4.59,3.0,627.11,0.0007,5586.95
MCAR,AMV7EQF,25,mlp_opt_0001,7.96,6.0,2547.49,0.0029,11517.65
MCAR,AMV7EQF,5,mean,13.74,13.0,340.44,0.0004,4107.66
MCAR,AMV7EQF,5,reg_opt_00001,4.93,3.0,611.16,0.0007,5196.64
MCAR,AMV7EQF,5,tree_gp_10000,4.27,3.0,675.42,0.0008,5712.9
MCAR,AMV7EQF,5,mlp_opt_0001,7.56,5.0,2719.52,0.0031,11741.8
MCAR,AZIK4ZA,25,mean,16.06,13.0,263.95,0.0004,3496.31
MCAR,AZIK4ZA,25,reg_opt_00001,5.15,3.0,462.96,0.0006,4316.54
MCAR,AZIK4ZA,25,tree_gp_10000,4.26,2.0,515.86,0.0007,4727.02
MCAR,AZIK4ZA,25,mlp_opt_0001,9.92,7.0,2060.61,0.0028,9801.9
MCAR,AZIK4ZA,20,mean,16.08,13.0,264.67,0.0004,3496.14
MCAR,AZIK4ZA,20,reg_opt_00001,5.07,3.0,480.78,0.0007,4339.92
MCAR,AZIK4ZA,20,tree_gp_10000,4.14,2.0,568.35,0.0008,4745.32
